                           column                            match                            label type csv grp show sort srch wdth
               "WILLFUL_VIOLATOR"               "WILLFUL_VIOLATOR"               "WILLFUL_VIOLATOR"  chr   0   0    0    0    0    0
                    "SUPPORT_H1B"                    "SUPPORT_H1B"                    "SUPPORT_H1B"  chr   0   0    0    0    0    0
                "STATUTORY_BASIS"                "STATUTORY_BASIS"                "STATUTORY_BASIS"  chr   0   0    0    0    0    0
            "APPENDIX_A_ATTACHED"            "APPENDIX_A_ATTACHED"            "APPENDIX_A_ATTACHED"  chr   0   0    0    0    0    0
              "PUBLIC_DISCLOSURE"              "PUBLIC_DISCLOSURE"              "PUBLIC_DISCLOSURE"  chr   0   0    0    0    0    0
             "PREPARER_LAST_NAME"             "PREPARER_LAST_NAME"             "PREPARER_LAST_NAME"  chr   0   0    0    0    0    0
            "PREPARER_FIRST_NAME"            "PREPARER_FIRST_NAME"            "PREPARER_FIRST_NAME"  chr   0   0    0    0    0    0
        "PREPARER_MIDDLE_INITIAL"        "PREPARER_MIDDLE_INITIAL"        "PREPARER_MIDDLE_INITIAL"  chr   0   0    0    0    0    0
         "PREPARER_BUSINESS_NAME"         "PREPARER_BUSINESS_NAME"         "PREPARER_BUSINESS_NAME"  chr   0   0    0    0    0    0
                 "PREPARER_EMAIL"                 "PREPARER_EMAIL"                 "PREPARER_EMAIL"  chr   0   0    0    0    0    0
