                                  column                                   match                                   label type csv grp show sort srch wdth
                    "WAGE_UNIT_OF_PAY_2"                    "WAGE_UNIT_OF_PAY_2"                    "WAGE_UNIT_OF_PAY_2"  chr   0   0    0    0    0    0
                     "PREVAILING_WAGE_2"                     "PREVAILING_WAGE_2"                     "PREVAILING_WAGE_2"  chr   0   0    0    0    0    0
                      "PW_UNIT_OF_PAY_2"                      "PW_UNIT_OF_PAY_2"                      "PW_UNIT_OF_PAY_2"  chr   0   0    0    0    0    0
                  "PW_TRACKING_NUMBER_2"                  "PW_TRACKING_NUMBER_2"                  "PW_TRACKING_NUMBER_2"  chr   0   0    0    0    0    0
                       "PW_WAGE_LEVEL_2"                       "PW_WAGE_LEVEL_2"                       "PW_WAGE_LEVEL_2"  chr   0   0    0    0    0    0
                         "PW_OES_YEAR_2"                         "PW_OES_YEAR_2"                         "PW_OES_YEAR_2"  chr   0   0    0    0    0    0
                     "PW_OTHER_SOURCE_2"                     "PW_OTHER_SOURCE_2"                     "PW_OTHER_SOURCE_2"  chr   0   0    0    0    0    0
                     "PW_NON-OES_YEAR_2"                     "PW_NON-OES_YEAR_2"                     "PW_NON-OES_YEAR_2"  num   0   0    0    0    0    0
                 "PW_SURVEY_PUBLISHER_2"                 "PW_SURVEY_PUBLISHER_2"                 "PW_SURVEY_PUBLISHER_2"  num   0   0    0    0    0    0
                      "PW_SURVEY_NAME_2"                      "PW_SURVEY_NAME_2"                      "PW_SURVEY_NAME_2"  chr   0   0    0    0    0    0
                    "WORKSITE_WORKERS_3"                    "WORKSITE_WORKERS_3"                    "WORKSITE_WORKERS_3"  num   0   0    0    0    0    0
                    "SECONDARY_ENTITY_3"                    "SECONDARY_ENTITY_3"                    "SECONDARY_ENTITY_3"  chr   0   0    0    0    0    0
      "SECONDARY_ENTITY_BUSINESS_NAME_3"      "SECONDARY_ENTITY_BUSINESS_NAME_3"      "SECONDARY_ENTITY_BUSINESS_NAME_3"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS1_3"                   "WORKSITE_ADDRESS1_3"                   "WORKSITE_ADDRESS1_3"  chr   0   0    0    0    0    0
                   "WORKSITE_ADDRESS2_3"                   "WORKSITE_ADDRESS2_3"                   "WORKSITE_ADDRESS2_3"  chr   0   0    0    0    0    0
                       "WORKSITE_CITY_3"                       "WORKSITE_CITY_3"                       "WORKSITE_CITY_3"  chr   0   0    0    0    0    0
                     "WORKSITE_COUNTY_3"                     "WORKSITE_COUNTY_3"                     "WORKSITE_COUNTY_3"  chr   0   0    0    0    0    0
